Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Melissa Terras, James Baker, James Hetherington, David Beavan, Anne Welsh, Helen O'Neill, Will Finley, Oliver Duke-Williams, Adam Farquhar;Enabling Complex Analysis of Large-Scale Digital Collections: Humanities Research, High Performance Computing, and transforming access to British Library Digital Collections;https://dblp.org/rec/conf/dihu/TerrasBHBWOFDF16;https://scholar.google.com/scholar?cluster=11682747324791540734;0;Long Paper
Thomas Bögel, Evelyn Gius, Janina Jacke, Jannik Strötgen;From Order to Order Switch. Mediating between Complexity and Reproducibility in the Context of Automated Literary Annotation;https://dblp.org/rec/conf/dihu/BogelGJS16;https://scholar.google.com/scholar?cluster=14857996608576753499;3;Long Paper
Mikko Tolonen, Niko Ilomäki, Hege Roivainen, Leo Lahti;Printing in a Periphery: a Quantitative Study of Finnish Knowledge Production, 1640-1828;https://dblp.org/rec/conf/dihu/TolonenIRL16;https://scholar.google.com/scholar?cluster=2912387019136768846;5;Long Paper
Peer Trilcke, Frank Fischer, Mathias Göbel, Dario Kampkaspar;Theatre Plays as 'Small Worlds'? Network Data on the History and Typology of German Drama, 1730-1930;https://dblp.org/rec/conf/dihu/TrilckeFGK16;https://scholar.google.com/scholar?cluster=3941180453510624475;8;Long Paper
Dirk Van Hulle, Mike Kestemont;Stylochronometry and the Periodization of Samuel Beckett's Prose;https://dblp.org/rec/conf/dihu/HulleK16;https://scholar.google.com/scholar?cluster=5962287280669932877;1;Long Paper
Lars Wieneke, Marten Düring, Daniele Guido;Introducing HistoGraph 2: Exploration of Cultural Heritage Documents Based on Co-Occurrence Graphs;https://dblp.org/rec/conf/dihu/WienekeDG16;https://scholar.google.com/scholar?cluster=3893973530900227889;2;Long Paper
Susan L. Wiesner, Shannon Cuykendall, Ethan Soutar-Rau, Rommie L. Stalnaker, Thecla Schiphorst, Karen Bradley;Schrifttanz: Written Dance/Movement Poems;https://dblp.org/rec/conf/dihu/WiesnerCSSSB16;https://scholar.google.com/scholar?cluster=7493827871293953450;1;Long Paper
Marcel Würsch, Michael Bärtschi, Rolf Ingold, Marcus Liwicki;DIVAServices-Spotlight - Experimenting with Document Image Analysis Methods in the Web;https://dblp.org/rec/conf/dihu/WurschBIL16;https://scholar.google.com/scholar?cluster=14829610731227108311;1;Long Paper
Aris Xanthos, Isaac Pante, Yannick Rochat, Martin Grandjean;Visualising the Dynamics of Character Networks;https://dblp.org/rec/conf/dihu/XanthosPRG16;https://scholar.google.com/scholar?cluster=14174769823231486276;8;Long Paper
Alaa Abi-Haidar, Jean-Gabriel Ganascia;Automatic Detection of Characters in Case Insensitive Text in Comics;https://dblp.org/rec/conf/dihu/Abi-HaidarG16;https://scholar.google.com/scholar?cluster=1061351316965199389;2;Short Paper
