Wikidata item,Title,Authorlabel,Linkcount
http://www.wikidata.org/entity/Q756866,Jurassic Park,Michael Crichton,31
http://www.wikidata.org/entity/Q289130,The Last Battle,C. S. Lewis,31
http://www.wikidata.org/entity/Q309019,Unfinished Tales,J. R. R. Tolkien,31
http://www.wikidata.org/entity/Q658288,Nausea,Jean-Paul Sartre,31
http://www.wikidata.org/entity/Q117293,Poor Folk,Fyodor Dostoyevsky,31
http://www.wikidata.org/entity/Q392937,The Protestant Ethic and the Spirit of Capitalism,Max Weber,31
http://www.wikidata.org/entity/Q190126,The Social Contract,Jean-Jacques Rousseau,31
http://www.wikidata.org/entity/Q899334,The Tin Drum,Günter Grass,31
http://www.wikidata.org/entity/Q6507,Finnegans Wake,James Joyce,31
http://www.wikidata.org/entity/Q470098,The Second Sex,Simone de Beauvoir,31
http://www.wikidata.org/entity/Q862816,Ethics,Baruch Spinoza,31
http://www.wikidata.org/entity/Q135515,The Sound and the Fury,William Faulkner,31
http://www.wikidata.org/entity/Q1250822,Taras Bulba,Nikolai Gogol,31
http://www.wikidata.org/entity/Q404567,Being and Time,Martin Heidegger,31
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,Lucy Maud Montgomery,30
http://www.wikidata.org/entity/Q822290,Gargantua and Pantagruel,François Rabelais,30
http://www.wikidata.org/entity/Q751348,Norwegian Wood,Haruki Murakami,30
http://www.wikidata.org/entity/Q431927,A Storm of Swords,George R. R. Martin,30
http://www.wikidata.org/entity/Q682733,The Castle,Franz Kafka,30
http://www.wikidata.org/entity/Q1139322,Veronika Decides to Die,Paulo Coelho,30
http://www.wikidata.org/entity/Q437791,Foucault's Pendulum,Umberto Eco,30
http://www.wikidata.org/entity/Q428114,Germania,Tacitus,30
http://www.wikidata.org/entity/Q860577,Demian,Hermann Hesse,30
http://www.wikidata.org/entity/Q396602,The Death of Ivan Ilyich,Leo Tolstoy,30
http://www.wikidata.org/entity/Q326909,Buddenbrooks,Thomas Mann,30
http://www.wikidata.org/entity/Q596874,Misery,Stephen King,30
http://www.wikidata.org/entity/Q602288,It,Stephen King,30
http://www.wikidata.org/entity/Q470937,The Shining,Stephen King,30
http://www.wikidata.org/entity/Q268211,The Pilgrim's Progress,John Bunyan,29
http://www.wikidata.org/entity/Q860633,A Thousand Splendid Suns,Khaled Hosseini,29
http://www.wikidata.org/entity/Q492207,Starship Troopers,Robert A. Heinlein,29
http://www.wikidata.org/entity/Q208971,1Q84,Haruki Murakami,29
http://www.wikidata.org/entity/Q898795,The Lady of the Camellias,"Alexandre Dumas, fils",29
http://www.wikidata.org/entity/Q1764445,A Feast for Crows,George R. R. Martin,29
http://www.wikidata.org/entity/Q627192,Divergent,Veronica Roth,29
http://www.wikidata.org/entity/Q264241,Gorgias,Plato,29
http://www.wikidata.org/entity/Q877510,The Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,29
http://www.wikidata.org/entity/Q579794,Beyond Good and Evil,Friedrich Nietzsche,29
http://www.wikidata.org/entity/Q331651,The Children of Húrin,J. R. R. Tolkien,29
http://www.wikidata.org/entity/Q1161171,The House of the Dead,Fyodor Dostoyevsky,29
http://www.wikidata.org/entity/Q849308,Species Plantarum,Carl Linnaeus,29
http://www.wikidata.org/entity/Q81413,Unua Libro,Ludwik Lejzer Zamenhof,29
http://www.wikidata.org/entity/Q875313,Book of Documents,Confucius,29
http://www.wikidata.org/entity/Q1132408,No One Writes to the Colonel,Gabriel García Márquez,29
http://www.wikidata.org/entity/Q913599,"Emile, or On Education",Jean-Jacques Rousseau,29
http://www.wikidata.org/entity/Q144569,The Captain's Daughter,Alexander Pushkin,29
http://www.wikidata.org/entity/Q1121567,Michael Strogoff,Jules Verne,29
http://www.wikidata.org/entity/Q472291,"Dick Sand, A Captain at Fifteen",Jules Verne,29
http://www.wikidata.org/entity/Q753894,Foundation,Isaac Asimov,29
http://www.wikidata.org/entity/Q693559,The Murder at the Vicarage,Agatha Christie,29
http://www.wikidata.org/entity/Q725752,The Return of Sherlock Holmes,Arthur Conan Doyle,29
http://www.wikidata.org/entity/Q149552,The Stand,Stephen King,29
http://www.wikidata.org/entity/Q862050,Les Liaisons dangereuses,Pierre Choderlos de Laclos,28
http://www.wikidata.org/entity/Q163335,Principia Mathematica,Alfred North Whitehead,28
http://www.wikidata.org/entity/Q678288,The Girl with the Dragon Tattoo,Stieg Larsson,28
http://www.wikidata.org/entity/Q929821,Stranger in a Strange Land,Robert A. Heinlein,28
http://www.wikidata.org/entity/Q472194,The Secret Garden,Frances Hodgson Burnett,28
http://www.wikidata.org/entity/Q40354,Mockingjay,Suzanne Collins,28
http://www.wikidata.org/entity/Q83799,We,Yevgeny Zamyatin,28
http://www.wikidata.org/entity/Q849930,Breakfast at Tiffany's,Truman Capote,28
http://www.wikidata.org/entity/Q822206,Shulchan Aruch,Joseph ben Ephraim Karo,28
http://www.wikidata.org/entity/Q247318,Records of the Three Kingdoms,Chen Shou,28
http://www.wikidata.org/entity/Q858036,Federalist Papers,John Jay,28
http://www.wikidata.org/entity/Q129493,Golden Legend,Jacobus de Voragine,28
http://www.wikidata.org/entity/Q612836,Vanity Fair,William Makepeace Thackeray,28
http://www.wikidata.org/entity/Q749783,The Man in the High Castle,Philip K. Dick,28
http://www.wikidata.org/entity/Q728312,Flatland,Edwin Abbott Abbott,28
http://www.wikidata.org/entity/Q858036,Federalist Papers,Alexander Hamilton,28
http://www.wikidata.org/entity/Q28306,A Dance with Dragons,George R. R. Martin,28
http://www.wikidata.org/entity/Q734493,I Am Legend,Richard Matheson,28
http://www.wikidata.org/entity/Q137869,Germinal,Émile Zola,28
http://www.wikidata.org/entity/Q731224,Discourse on the Method,René Descartes,28
http://www.wikidata.org/entity/Q726382,The Interpretation of Dreams,Sigmund Freud,28
http://www.wikidata.org/entity/Q861527,Ecce Homo,Friedrich Nietzsche,28
http://www.wikidata.org/entity/Q858036,Federalist Papers,James Madison,28
http://www.wikidata.org/entity/Q247379,Eleven Minutes,Paulo Coelho,28
